Evento ID,Tipo de evento,Magnitud,Vs30,Archivo H1,Ruta H1,Archivo H2,Ruta H2,Archivo V,Ruta V
RSN3_HUMBOLT,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN3_HUMBOLT_FRN225.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN3_HUMBOLT_FRN225.AT2,RSN3_HUMBOLT_FRN315.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN3_HUMBOLT_FRN315.AT2,RSN3_HUMBOLT_FRN-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN3_HUMBOLT_FRN-UP.AT2
RSN4_IMPVALL.BG,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN4_IMPVALL.BG_B-ELC000.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN4_IMPVALL.BG_B-ELC000.AT2,RSN4_IMPVALL.BG_B-ELC090.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN4_IMPVALL.BG_B-ELC090.AT2,RSN4_IMPVALL.BG_B-ELC-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN4_IMPVALL.BG_B-ELC-UP.AT2
RSN5_NWCALIF.AB,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN5_NWCALIF.AB_A-FRN045.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN5_NWCALIF.AB_A-FRN045.AT2,RSN5_NWCALIF.AB_A-FRN135.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN5_NWCALIF.AB_A-FRN135.AT2,RSN5_NWCALIF.AB_A-FRNDWN.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN5_NWCALIF.AB_A-FRNDWN.AT2
RSN10_IMPVALL.BG,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN10_IMPVALL.BG_C-ELC000.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN10_IMPVALL.BG_C-ELC000.AT2,RSN10_IMPVALL.BG_C-ELC090.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN10_IMPVALL.BG_C-ELC090.AT2,RSN10_IMPVALL.BG_C-ELC-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN10_IMPVALL.BG_C-ELC-UP.AT2
RSN11_NWCALIF.AB,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN11_NWCALIF.AB_B-FRN224.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN11_NWCALIF.AB_B-FRN224.AT2,RSN11_NWCALIF.AB_B-FRN314.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN11_NWCALIF.AB_B-FRN314.AT2,RSN11_NWCALIF.AB_B-FRN-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN11_NWCALIF.AB_B-FRN-UP.AT2
RSN16_NCALIF.AG,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN16_NCALIF.AG_A-FRN044.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN16_NCALIF.AG_A-FRN044.AT2,RSN16_NCALIF.AG_A-FRN134.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN16_NCALIF.AG_A-FRN134.AT2,RSN16_NCALIF.AG_A-FRN-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN16_NCALIF.AG_A-FRN-UP.AT2
RSN18_IMPVALL.BG,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN18_IMPVALL.BG_G-ELC000.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN18_IMPVALL.BG_G-ELC000.AT2,RSN18_IMPVALL.BG_G-ELC090.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN18_IMPVALL.BG_G-ELC090.AT2,RSN18_IMPVALL.BG_G-ELC-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN18_IMPVALL.BG_G-ELC-UP.AT2
RSN21_IMPVALL.BG,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN21_IMPVALL.BG_E-ELC000.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN21_IMPVALL.BG_E-ELC000.AT2,RSN21_IMPVALL.BG_E-ELC090.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN21_IMPVALL.BG_E-ELC090.AT2,RSN21_IMPVALL.BG_E-ELC-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN21_IMPVALL.BG_E-ELC-UP.AT2
RSN25_NCALIF.AG,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN25_NCALIF.AG_B-FRN224.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN25_NCALIF.AG_B-FRN224.AT2,RSN25_NCALIF.AG_B-FRN314.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN25_NCALIF.AG_B-FRN314.AT2,RSN25_NCALIF.AG_B-FRN-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN25_NCALIF.AG_B-FRN-UP.AT2
RSN34_NCALIF.AG,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN34_NCALIF.AG_C-FRN224.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN34_NCALIF.AG_C-FRN224.AT2,RSN34_NCALIF.AG_C-FRN314.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN34_NCALIF.AG_C-FRN314.AT2,RSN34_NCALIF.AG_C-FRN-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN34_NCALIF.AG_C-FRN-UP.AT2
